team_code,team_name,tournaments,group stage,round of 16,quarter-finals,semi-finals,third-place match,final,winner,chance_of_passing_round_of_16,first_in_group,second_in_group,participations
DZA,Algeria,"{'WC-1982': {'matches': 3}, 'WC-1986': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 4}}",12,1,0,0,0,0,0,0,0,0,4
AGO,Angola,{'WC-2006': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
ARG,Argentina,"{'WC-1930': {'matches': 5}, 'WC-1934': {'matches': 1}, 'WC-1958': {'matches': 3}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 4}, 'WC-1974': {'matches': 6}, 'WC-1978': {'matches': 7}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 7}, 'WC-1990': {'matches': 7}, 'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 5}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 5}, 'WC-2010': {'matches': 5}, 'WC-2014': {'matches': 7}, 'WC-2018': {'matches': 4}}",56,9,7,4,0,5,2,0.45,1,0,17
AUS,Australia,"{'WC-1974': {'matches': 3}, 'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 3}}",15,1,0,0,0,0,0,0.08333333333333333,0,0,5
AUT,Austria,"{'WC-1934': {'matches': 4}, 'WC-1954': {'matches': 5}, 'WC-1958': {'matches': 3}, 'WC-1978': {'matches': 6}, 'WC-1982': {'matches': 5}, 'WC-1990': {'matches': 3}, 'WC-1998': {'matches': 3}}",22,1,2,2,2,0,0,0,0,0,7
BEL,Belgium,"{'WC-1930': {'matches': 2}, 'WC-1934': {'matches': 1}, 'WC-1938': {'matches': 1}, 'WC-1954': {'matches': 2}, 'WC-1970': {'matches': 3}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 7}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 4}, 'WC-2014': {'matches': 5}, 'WC-2018': {'matches': 7}}",33,8,3,2,2,0,0,0.7272727272727273,1,0,13
BOL,Bolivia,"{'WC-1930': {'matches': 2}, 'WC-1950': {'matches': 1}, 'WC-1994': {'matches': 3}}",6,0,0,0,0,0,0,0,0,0,3
BIH,Bosnia and Herzegovina,{'WC-2014': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
BRA,Brazil,"{'WC-1930': {'matches': 2}, 'WC-1934': {'matches': 1}, 'WC-1938': {'matches': 5}, 'WC-1950': {'matches': 6}, 'WC-1954': {'matches': 3}, 'WC-1958': {'matches': 6}, 'WC-1962': {'matches': 6}, 'WC-1966': {'matches': 3}, 'WC-1970': {'matches': 6}, 'WC-1974': {'matches': 7}, 'WC-1978': {'matches': 7}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 5}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 7}, 'WC-1998': {'matches': 7}, 'WC-2002': {'matches': 7}, 'WC-2006': {'matches': 5}, 'WC-2010': {'matches': 5}, 'WC-2014': {'matches': 7}, 'WC-2018': {'matches': 5}}",63,11,14,8,4,9,7,0.5789473684210527,1,0,21
BGR,Bulgaria,"{'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 3}, 'WC-1970': {'matches': 3}, 'WC-1974': {'matches': 3}, 'WC-1986': {'matches': 4}, 'WC-1994': {'matches': 7}, 'WC-1998': {'matches': 3}}",21,2,1,1,1,0,0,0,0,0,7
CMR,Cameroon,"{'WC-1982': {'matches': 3}, 'WC-1990': {'matches': 5}, 'WC-1994': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 3}}",21,1,1,0,0,0,0,0.05263157894736842,0,0,7
CAN,Canada,{'WC-1986': {'matches': 3}},3,0,0,0,0,0,0,0.0,0,0,1
CHL,Chile,"{'WC-1930': {'matches': 3}, 'WC-1950': {'matches': 3}, 'WC-1962': {'matches': 6}, 'WC-1966': {'matches': 3}, 'WC-1974': {'matches': 3}, 'WC-1982': {'matches': 3}, 'WC-1998': {'matches': 4}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 4}}",27,3,1,1,1,0,0,0,0,0,9
CHN,China,{'WC-2002': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
COL,Colombia,"{'WC-1962': {'matches': 3}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2014': {'matches': 5}, 'WC-2018': {'matches': 4}}",18,3,1,0,0,0,0,0,0,0,6
CRI,Costa Rica,"{'WC-1990': {'matches': 4}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2014': {'matches': 5}, 'WC-2018': {'matches': 3}}",15,2,1,0,0,0,0,0.08333333333333333,0,0,5
HRV,Croatia,"{'WC-1998': {'matches': 7}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 7}}",15,2,2,2,1,1,0,0.18181818181818182,0,1,5
CUB,Cuba,{'WC-1938': {'matches': 3}},0,2,1,0,0,0,0,0,0,0,1
CZE,Czech Republic,{'WC-2006': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
CSK,Czechoslovakia,"{'WC-1934': {'matches': 4}, 'WC-1938': {'matches': 3}, 'WC-1954': {'matches': 2}, 'WC-1958': {'matches': 4}, 'WC-1962': {'matches': 6}, 'WC-1970': {'matches': 3}, 'WC-1982': {'matches': 3}, 'WC-1990': {'matches': 5}}",18,3,5,2,0,2,0,0,0,0,8
DNK,Denmark,"{'WC-1986': {'matches': 4}, 'WC-1998': {'matches': 5}, 'WC-2002': {'matches': 4}, 'WC-2010': {'matches': 3}, 'WC-2018': {'matches': 4}}",15,4,1,0,0,0,0,0.3333333333333333,0,1,5
IDN,Dutch East Indies,{'WC-1938': {'matches': 1}},0,1,0,0,0,0,0,0,0,0,1
DDR,East Germany,{'WC-1974': {'matches': 6}},6,0,0,0,0,0,0,0,0,0,1
ECU,Ecuador,"{'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 4}, 'WC-2014': {'matches': 3}}",9,1,0,0,0,0,0,0.1,0,0,3
EGY,Egypt,"{'WC-1934': {'matches': 1}, 'WC-1990': {'matches': 3}, 'WC-2018': {'matches': 3}}",6,1,0,0,0,0,0,0,0,0,3
SLV,El Salvador,"{'WC-1970': {'matches': 3}, 'WC-1982': {'matches': 3}}",6,0,0,0,0,0,0,0,0,0,2
ENG,England,"{'WC-1950': {'matches': 3}, 'WC-1954': {'matches': 3}, 'WC-1958': {'matches': 4}, 'WC-1962': {'matches': 4}, 'WC-1966': {'matches': 6}, 'WC-1970': {'matches': 4}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 5}, 'WC-1990': {'matches': 7}, 'WC-1998': {'matches': 4}, 'WC-2002': {'matches': 5}, 'WC-2006': {'matches': 5}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 7}}",47,7,9,3,2,1,1,0.5833333333333334,1,0,15
FRA,France,"{'WC-1930': {'matches': 3}, 'WC-1934': {'matches': 1}, 'WC-1938': {'matches': 2}, 'WC-1954': {'matches': 2}, 'WC-1958': {'matches': 6}, 'WC-1966': {'matches': 3}, 'WC-1978': {'matches': 3}, 'WC-1982': {'matches': 7}, 'WC-1986': {'matches': 7}, 'WC-1998': {'matches': 7}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 7}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 5}, 'WC-2018': {'matches': 7}}",40,7,7,6,3,3,2,0.5833333333333334,1,0,15
DEU,West Germany,"{'WC-1934': {'matches': 4}, 'WC-1938': {'matches': 2}, 'WC-1954': {'matches': 6}, 'WC-1958': {'matches': 6}, 'WC-1962': {'matches': 4}, 'WC-1966': {'matches': 6}, 'WC-1970': {'matches': 6}, 'WC-1974': {'matches': 7}, 'WC-1978': {'matches': 6}, 'WC-1982': {'matches': 7}, 'WC-1986': {'matches': 7}, 'WC-1990': {'matches': 7}, 'WC-1994': {'matches': 5}, 'WC-1998': {'matches': 5}, 'WC-2002': {'matches': 7}, 'WC-2006': {'matches': 7}, 'WC-2010': {'matches': 7}, 'WC-2014': {'matches': 7}, 'WC-2018': {'matches': 3}}",59,11,14,12,5,8,4,0.4583333333333333,1,0,19
GHA,Ghana,"{'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 5}, 'WC-2014': {'matches': 3}}",9,2,1,0,0,0,0,0.16666666666666666,0,0,3
GRC,Greece,"{'WC-1994': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 4}}",9,1,0,0,0,0,0,0,0,0,3
HTI,Haiti,{'WC-1974': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
HND,Honduras,"{'WC-1982': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 3}}",9,0,0,0,0,0,0,0,0,0,3
HUN,Hungary,"{'WC-1934': {'matches': 2}, 'WC-1938': {'matches': 4}, 'WC-1954': {'matches': 5}, 'WC-1958': {'matches': 4}, 'WC-1962': {'matches': 4}, 'WC-1966': {'matches': 4}, 'WC-1978': {'matches': 3}, 'WC-1982': {'matches': 3}, 'WC-1986': {'matches': 3}}",21,2,5,2,0,2,0,0,0,0,9
ISL,Iceland,{'WC-2018': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
IRN,Iran,"{'WC-1978': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 3}}",15,0,0,0,0,0,0,0.0,0,0,5
IRQ,Iraq,{'WC-1986': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
ISR,Israel,{'WC-1970': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
ITA,Italy,"{'WC-1934': {'matches': 5}, 'WC-1938': {'matches': 4}, 'WC-1950': {'matches': 2}, 'WC-1954': {'matches': 3}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 3}, 'WC-1970': {'matches': 6}, 'WC-1974': {'matches': 3}, 'WC-1978': {'matches': 7}, 'WC-1982': {'matches': 7}, 'WC-1986': {'matches': 4}, 'WC-1990': {'matches': 7}, 'WC-1994': {'matches': 7}, 'WC-1998': {'matches': 5}, 'WC-2002': {'matches': 4}, 'WC-2006': {'matches': 7}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 3}}",52,8,8,7,2,6,4,0,0,0,18
CIV,Ivory Coast,"{'WC-2006': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 3}}",9,0,0,0,0,0,0,0,0,0,3
JAM,Jamaica,{'WC-1998': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
JPN,Japan,"{'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 4}, 'WC-2006': {'matches': 3}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 4}}",18,3,0,0,0,0,0,0.125,0,0,6
KWT,Kuwait,{'WC-1982': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
MEX,Mexico,"{'WC-1930': {'matches': 3}, 'WC-1950': {'matches': 3}, 'WC-1954': {'matches': 2}, 'WC-1958': {'matches': 3}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 3}, 'WC-1970': {'matches': 4}, 'WC-1978': {'matches': 3}, 'WC-1986': {'matches': 5}, 'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 4}, 'WC-2002': {'matches': 4}, 'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 4}, 'WC-2018': {'matches': 4}}",47,8,2,0,0,0,0,0.4,0,1,16
MAR,Morocco,"{'WC-1970': {'matches': 3}, 'WC-1986': {'matches': 4}, 'WC-1994': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2018': {'matches': 3}}",15,1,0,0,0,0,0,0.09090909090909091,0,0,5
NLD,Netherlands,"{'WC-1934': {'matches': 1}, 'WC-1938': {'matches': 1}, 'WC-1974': {'matches': 7}, 'WC-1978': {'matches': 7}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 5}, 'WC-1998': {'matches': 7}, 'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 7}, 'WC-2014': {'matches': 7}}",30,8,4,3,2,3,0,0.8,1,0,10
NZL,New Zealand,"{'WC-1982': {'matches': 3}, 'WC-2010': {'matches': 3}}",6,0,0,0,0,0,0,0,0,0,2
